category,group,question_id,question,phrase
สสร.,0,สสร.-0,สสร. ควรมีองค์ประกอบและที่มาอย่างไรเพื่อให้เกิดความหลากหลายและความชอบธรรม?,องค์ประกอบและความหลากหลายของ สสร.
สสร.,1,สสร.-1,จะสร้างกระบวนการมีส่วนร่วมและสร้างความตระหนักรู้ของประชาชนในการร่างรัฐธรรมนูญได้อย่างไร?,กระบวนการทำงานและการสร้างการมีส่วนร่วมของประชาชน
สสร.,2,สสร.-2,คณะกรรมการยกร่างควรมีแนวทางและกระบวนการทำงานอย่างไรให้สอดคล้องกับสถานการณ์?,การพัฒนาศักยภาพและวาระการทำงานของ สสร.
สสร.,3,สสร.-3,ควรมีกลไกผู้เชี่ยวชาญหรือที่ปรึกษาในรูปแบบใดเพื่อสนับสนุนการทำงานของ สสร.?,บทบาทและที่มาของผู้เชี่ยวชาญใน สสร.
สสร.,4,สสร.-4,จะสร้างกลไกความโปร่งใส การตรวจสอบ และความปลอดภัยในการทำงานของ สสร. ได้อย่างไร?,ความโปร่งใส ตรวจสอบได้ และความเป็นอิสระของ สสร.
สสร.,5,สสร.-5,ควรมีข้อกำหนดคุณสมบัติและข้อห้ามใดเพื่อป้องกันผลประโยชน์ทับซ้อนและการแทรกแซงทางการเมือง?,คุณสมบัติและข้อจำกัดในการเข้าดำรงตำแหน่ง สสร.
สสร.,6,สสร.-6,คุณสมบัติและความเชี่ยวชาญด้านใดที่จำเป็นสำหรับผู้สมัคร สสร.?,ทักษะและความเชี่ยวชาญที่จำเป็นของ สสร.
สสร.,7,สสร.-7,ระบบการเลือกตั้ง สสร. ควรเป็นรูปแบบใดเพื่อให้สะท้อนเจตจำนงของประชาชนได้ดีที่สุด?,ระบบและรูปแบบการเลือกตั้ง สสร.
สสร.,8,สสร.-8,สื่อมวลชนและช่องทางออนไลน์ควรมีบทบาทอย่างไรในการสนับสนุนการทำงานของ สสร.?,บทบาทสื่อและช่องทางออนไลน์ในกระบวนการ สสร.
สวัสดิการ,0,สวัสดิการ-0,รัฐควรจัดสวัสดิการเพื่อสนับสนุนการเลี้ยงดูบุตรและการสร้างสมดุลชีวิตการทำงานอย่างไร?,การคุ้มครองสิทธิและรูปแบบรัฐสวัสดิการ
สวัสดิการ,1,สวัสดิการ-1,การออกแบบโครงสร้างพื้นฐานและระบบคมนาคมควรเป็นอย่างไรเพื่อคนทุกกลุ่ม?,โครงสร้างพื้นฐานและการเข้าถึงบริการสาธารณะ
สวัสดิการ,2,สวัสดิการ-2,รัฐควรบริหารจัดการภาษีและสวัสดิการผู้สูงอายุอย่างไรเพื่อพัฒนาคุณภาพชีวิตประชาชน?,การจัดสรรงบประมาณและสวัสดิการทุกช่วงวัย
สวัสดิการ,3,สวัสดิการ-3,ควรมีสวัสดิการพิเศษเพื่อส่งเสริมการเรียนรู้นอกห้องเรียนสำหรับเยาวชนที่จบการศึกษาหรือไม่?,สวัสดิการเพื่อการเรียนรู้และพัฒนาเยาวชน
สวัสดิการ,4,สวัสดิการ-4,จะพัฒนาระบบสาธารณสุขให้มีประสิทธิภาพและครอบคลุมประชาชนทุกกลุ่มได้อย่างไร?,มาตรฐานความเท่าเทียมในบริการสาธารณสุขและการศึกษา
สวัสดิการ,5,สวัสดิการ-5,ระบบประกันการว่างงานควรมีลักษณะอย่างไรเพื่อคุ้มครองแรงงาน?,ระบบประกันสังคมและความมั่นคงในการทำงาน
สวัสดิการ,6,สวัสดิการ-6,รัฐควรมีมาตรการเยียวยาและยกระดับคุณภาพชีวิตกลุ่มผู้ยากไร้อย่างไร?,การเยียวยาและยกระดับคุณภาพชีวิตกลุ่มเปราะบาง
อื่น ๆ,0,อื่น ๆ-0,รัฐธรรมนูญควรวางโครงสร้างอำนาจและการตรวจสอบอย่างไรเพื่อคุ้มครองประชาธิปไตยและสิทธิประชาชน?,หลักการพื้นฐานและการออกแบบโครงสร้างอำนาจรัฐ
อื่น ๆ,1,อื่น ๆ-1,จะสร้างกลไกทางกฎหมายและกระบวนการยุติธรรมที่เท่าเทียมและป้องกันการทุจริตได้อย่างไร?,การป้องกันการทุจริตและอาชญากรรมสมัยใหม่
สิทธิเสรีภาพ,0,สิทธิเสรีภาพ-0,รัฐธรรมนูญควรรับรองและคุ้มครองสิทธิเสรีภาพและความหลากหลายของบุคคลในด้านใดบ้าง?,การคุ้มครองสิทธิความหลากหลายและเสรีภาพในการแสดงออก
สิทธิเสรีภาพ,1,สิทธิเสรีภาพ-1,จะส่งเสริมสิทธิในการเรียนรู้และการปฏิบัติธรรมตามหลักศาสนาในทุกพื้นที่ได้อย่างไร?,สิทธิในการศึกษาและการปฏิบัติศาสนกิจ
สิทธิเสรีภาพ,2,สิทธิเสรีภาพ-2,รัฐควรมีมาตรการคุ้มครองสิทธิขั้นพื้นฐานในด้านกระบวนการยุติธรรม แรงงาน และที่อยู่อาศัยอย่างไร?,การคุ้มครองสิทธิขั้นพื้นฐานและกระบวนการยุติธรรม
สิทธิเสรีภาพ,3,สิทธิเสรีภาพ-3,จะสร้างสังคมที่เคารพในศักดิ์ศรีความเป็นมนุษย์และความหลากหลายทางวัฒนธรรมได้อย่างไร?,ศักดิ์ศรีความเป็นมนุษย์และความหลากหลายในสังคม
สิทธิเสรีภาพ,4,สิทธิเสรีภาพ-4,ควรมีมาตรการทางรัฐธรรมนูญอย่างไรเพื่อลดการผูกขาดทางเศรษฐกิจ?,การป้องกันการผูกขาดและสิทธิทางเศรษฐกิจ
สิทธิเสรีภาพ,5,สิทธิเสรีภาพ-5,สิทธิของผู้ต้องขังและผู้พ้นโทษควรได้รับการคุ้มครองและพัฒนาในด้านใดบ้าง?,สิทธิและสวัสดิภาพของผู้ต้องขังและผู้พ้นโทษ
รัฐสภา,0,รัฐสภา-0,โครงสร้างและอำนาจหน้าที่ของรัฐสภาควรเป็นอย่างไรเพื่อไม่ให้เป็นอุปสรรคต่อการบริหารประเทศ?,โครงสร้างอำนาจหน้าที่ของรัฐสภาและฝ่ายบริหาร
รัฐสภา,1,รัฐสภา-1,ความสัมพันธ์ระหว่างกองทัพกับรัฐบาลพลเรือนควรถูกกำหนดไว้อย่างไรในรัฐธรรมนูญ?,การปฏิรูปกองทัพภายใต้รัฐบาลพลเรือน
การปกครองส่วนท้องถิ่น,0,การปกครองส่วนท้องถิ่น-0,แนวทางการกระจายอำนาจและการจัดสรรงบประมาณสู่ท้องถิ่นควรเป็นอย่างไร?,การกระจายอำนาจและงบประมาณสู่ท้องถิ่น
การปกครองส่วนท้องถิ่น,1,การปกครองส่วนท้องถิ่น-1,จะปรับปรุงโครงสร้างอำนาจเพื่อลดการรวมศูนย์ไว้ที่ส่วนกลางได้อย่างไร?,การปรับปรุงโครงสร้างอำนาจรัฐส่วนกลางและท้องถิ่น
การศึกษา,0,การศึกษา-0,รัฐควรจัดการศึกษาอย่างไรเพื่อให้ประชาชนเข้าถึงสิทธิอย่างเท่าเทียมและมีความรู้ทางการเมือง?,สิทธิทางการศึกษาและการสร้างพลเมือง
