id,created_at,category,ref_id,notified_at,title,updated_at
04igkOa0KDKz9yfJogEo,2025-07-02T10:19:44.197Z,สสร.,A23,2025-07-02T10:19:44.197Z,ควรมีกลุ่มผู้เชี่ยวชาญเป็นส่วนหนึ่งของ สสร. แต่ไม่มีสิทธิ์โหวต (non-voting advisory panel),2025-07-02T10:19:44.197Z
0Fei5MccG3Tftzfh9Uoo,2025-06-11T06:57:15.852Z,สวัสดิการ,,2025-09-05T10:38:04.337Z,เด็ก ๆ ที่เรียนจบควรมีทุนสำหรับการท่องเที่ยว,2025-09-05T10:38:04.337Z
0vomrDzX8pjCYnoNBiuo,2025-07-02T10:19:44.197Z,อื่น ๆ,A87,2025-09-09T11:04:18.027Z,ให้มีการให้ความรู้กับประชาชนทั่วไปก่อนการแก้กฎหมายใดๆ อย่างไม่เหลื่อมล้ำ ด้วยวิธีการ เช่น การเสวนา,2025-09-09T11:04:18.027Z
1eNG3cExFvLzW5leCHWP,2025-09-12T03:33:50.862Z,อื่น ๆ,,2025-09-12T03:41:11.258Z,รัฐธรรมนูญต้องจำกัดอำนาจของผู้ใช้อำนาจให้อยู่ในกรอบขอบเขต,2025-09-12T03:33:50.862Z
1nja4ZhMvSVsjlVvtx9r,2025-07-02T10:19:44.197Z,สสร.,A16,2025-07-02T10:19:44.197Z,ทหารต้องไม่มายุ่งกับการร่างรัฐธรรมนูญ,2025-07-02T10:19:44.197Z
1qjh6KRYbAEPsKG8NUDI,2025-07-02T10:19:44.197Z,สิทธิเสรีภาพ,A90,2025-07-02T10:19:44.197Z,ควรมองคนในสังคมเป็นมนุษย์เหมือนกับเรา,2025-07-02T10:19:44.197Z
2StYx1m4eIDCGmr7yEBp,2025-09-15T04:14:44.516Z,รัฐสภา,,2025-09-15T04:14:44.516Z,สว.ต้องไม่มีอำนาจเหนือ สส. แต่เป็นที่ปรึกษา ให้ข้อเสนอแนะกับสส.,2025-09-15T04:14:44.516Z
2rIAoKtf0uRsbMDTZ6kE,2025-07-02T10:19:44.197Z,สสร.,A14,2025-09-09T11:26:50.469Z,สสร. ไม่จำเป็นต้องมีตัวแทนเชิงพื้นที่,2025-09-09T11:12:32.428Z
2rkY2deHi8JWXeTwRzzX,2025-07-02T10:19:44.197Z,สวัสดิการ,A102,2025-07-02T10:19:44.197Z,ต้องมอบเงินประกันการว่างงาน,2025-07-02T10:19:44.197Z
30iUR5Bs1u2g842KdF3y,2025-07-02T10:19:44.197Z,สสร.,A48,2025-09-09T11:09:51.423Z,"กรณี สสร มาจากพรรคการเมือง ควรให้พรรคการเมือง ""กรอง"" คุณสมบัติให้ด้วย ถือว่าเป็นการเน้นย้ำเจตนารมณ์ และเช็คว่าไม่ได้มีตำแหน่งทางการเมือง",2025-09-09T11:09:51.423Z
4CGZkWkBlX9VNSkBJEGI,2025-07-02T10:19:44.197Z,สสร.,A57,2025-07-02T10:19:44.197Z,สสร. ต้องมีความหลากหลายของคนที่เข้ามาเป็นสสร.,2025-07-02T10:19:44.197Z
